cls,theme,freq,agent_utterance,agent_utterance_refine
qs_nocont_high,スポーツ,1, どんなスポーツをされましたか？, どんなスポーツをされましたか？
qs_nocont_high,スポーツ,5, なにかおすすめのスポーツ観戦はありますか？, なにかおすすめのスポーツ観戦はありますか？
qs_nocont_high,スポーツ,6, スポーツをする目的は何ですか？, スポーツをする目的は何ですか？
qs_nocont_high,スポーツ,16, 健康のため、とか、リフレッシュするため、とかですか？, 健康のためとかリフレッシュするためとかですか？
qs_nocont_high,スポーツ,3, 好きなスポーツはなんですか？, 好きなスポーツはなんですか？
qs_nocont_high,音楽,4, カラオケに行くときはお友達と行きますか？, カラオケに行くときはお友達と行きますか？
qs_nocont_high,食事,9, お友達とランチに行ったりしますか？, お友達とランチに行ったりしますか？
qs_nocont_high,食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
qs_nocont_high,食事,30, 甘いものと、からいものどちらがお好きですか？, 甘いものと辛いもののどちらがお好きですか？
qs_nocont_high,食事,10, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
qs_nocont_high,旅行,23, 今までいった「旅行」で特におすすめの場所はありますか？, 今までいった旅行で特におすすめの場所はありますか？
qs_nocont_high,旅行,10, 旅行はどこに行ったことがありますか？, 旅行はどこに行ったことがありますか？

qs_nocont_normal,スポーツ,20, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？, 2020年にはオリンピックが日本で開催されるようですね。ご存じですか？
qs_nocont_normal,スポーツ,4, そうですか。テレビでの観戦はなされるんですか？, テレビでの観戦はなされるんですか？
qs_nocont_normal,スポーツ,15, オリンピックは今までに見たことはありますか？, オリンピックは今までに見たことはありますか？
qs_nocont_normal,スポーツ,9, スポーツはするほうが好きですか？それとも見るほうが好きですか？, スポーツはするほうが好きですか？それとも見るほうが好きですか？
qs_nocont_normal,スポーツ,1, スポーツはよくするんですか？, スポーツはよくするんですか？
qs_nocont_normal,スポーツ,16, 日本で開催されるオリンピックを、見にいく予定はありますか？, 日本で開催されるオリンピックを、見にいく予定はありますか？
qs_nocont_normal,スポーツ,7, 最近スポーツはしましたか？, 最近スポーツはしましたか？
qs_nocont_normal,スポーツ,7, 競技はなにをご覧になりますか？, 競技は何をご覧になりますか？
qs_nocont_normal,音楽,7, おすすめの曲はありますか？, おすすめの曲はありますか？
qs_nocont_normal,音楽,3, おすすめの歌手やきょくってありますか？, おすすめの歌手や曲ってありますか？
qs_nocont_normal,音楽,8, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？, スローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？
qs_nocont_normal,音楽,9, カラオケでよくなにをうたうのですか？, カラオケでよく何を歌うのですか？
qs_nocont_normal,音楽,3, カラオケで歌ったりするのですか？, カラオケで歌ったりするのですか？
qs_nocont_normal,音楽,14, カラオケは好きですか？, カラオケは好きですか？
qs_nocont_normal,音楽,6, コンサートとかには行きますか？, コンサートとかには行きますか？
qs_nocont_normal,音楽,6, 最近音楽は聞きましたか？, 最近音楽は聞きましたか？
qs_nocont_normal,音楽,22, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
qs_nocont_normal,食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？
