name,lenS,label,名詞,agent_utterance,cls,theme,freq,agent_utterance_refine,depend_word,nod_word,thank_word,questionmark,default,スポーツ,旅行,音楽,食事,UI3average,UI3average_diff
1902F2001_007,5.0,4.4,0, なるほど。,1,default,47, なるほど。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,4.4,0.0
1902F2001_008,8.0,4.8,0, 本当ですか！,3,default,19, 本当ですか！,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4.8,0.39999999999999947
1902F2001_008,8.0,4.8,0, 本当ですか！,3,default,19, 本当ですか！,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4.8,0.0
1902F2001_011,23.0,5.0,1, 甘いものと、からいものどちらがお好きですか？,2,食事,30, 甘いものと辛いもののどちらがお好きですか？,0,0,0,1,0.0,0.0,0.0,0.0,1.0,5.0,0.20000000000000018
1902F2001_012,44.0,5.6,1, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,2,食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,0,0,0,1,0.0,0.0,0.0,0.0,1.0,5.6,0.5999999999999996
1902F2001_013,19.0,4.6,0, そうですか、とても美味しそうですね・・,1,食事,8, そうですか、とても美味しそうですね。,0,1,0,0,0.0,0.0,0.0,0.0,1.0,4.6,-1.0
1902F2001_014,20.0,4.4,1, なるほど、普段はどこでスイーツを買いますか？,2,食事,23, 普段はどこでスイーツを買いますか？,0,0,0,1,0.0,0.0,0.0,0.0,1.0,4.4,-0.1999999999999993
1902F2001_015,45.0,5.8,0, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,2,食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？,0,0,0,1,0.0,0.0,0.0,0.0,1.0,5.8,1.3999999999999995
1902F2001_016,18.0,4.8,2, 具体的にはどういったものですか？,6,default,19, 具体的にはどういったものですか？,1,0,0,1,1.0,0.0,0.0,0.0,0.0,4.8,-1.0
1902F2001_066,18.0,4.6,6, 具体的にはどういったものですか？,6,default,19, 具体的にはどういったものですか？,1,0,0,1,1.0,0.0,0.0,0.0,0.0,4.6,-0.20000000000000018
1902F2001_017,24.0,4.8,1, なるほど、その中でもおすすめのスイーツはありますか？,0,食事,20, その中でもおすすめのスイーツはありますか？,1,0,0,1,0.0,0.0,0.0,0.0,1.0,4.8,0.20000000000000018
1902F2001_018,13.0,4.0,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,4.0,-0.7999999999999998
1902F2001_028,13.0,4.0,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
1902F2001_037,13.0,3.6,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,3.6,-0.3999999999999999
1902F2001_055,13.0,3.8,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,3.8,0.19999999999999973
1902F2001_069,13.0,3.8,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,3.8,0.0
1902F2001_077,13.0,4.0,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.20000000000000018
1902F2001_023,15.0,5.6,0, 最近スポーツはしましたか？,2,スポーツ,7, 最近スポーツはしましたか？,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5.6,1.5999999999999996
1902F2001_024,14.0,6.4,0, 好きなスポーツはなんですか？,2,スポーツ,3, 好きなスポーツはなんですか？,0,0,0,1,0.0,1.0,0.0,0.0,0.0,6.4,0.8000000000000007
1902F2001_026,21.0,6.4,0, なるほど、健康的で、ステキですね・・,1,スポーツ,10, なるほど、健康的で素敵ですね。,0,1,0,0,0.0,1.0,0.0,0.0,0.0,6.4,0.0
1902F2001_030,21.0,4.6,0, なるほど、健康的で、ステキですね・・,1,スポーツ,10, なるほど、健康的で素敵ですね。,0,1,0,0,0.0,1.0,0.0,0.0,0.0,4.6,-1.8000000000000007
1902F2001_027,18.0,5.8,5, スポーツをする目的は何ですか？,2,スポーツ,6, スポーツをする目的は何ですか？,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5.8,1.2000000000000002
1902F2001_029,29.0,5.6,0, そのほか健康のために、気をつけていることはありますか？,0,スポーツ,16, そのほか健康のために、気をつけていることはありますか？,1,0,0,1,0.0,1.0,0.0,0.0,0.0,5.6,-0.20000000000000018
1902F2001_031,39.0,5.0,0, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,2,スポーツ,20, 2020年にはオリンピックが日本で開催されるようですね。ご存じですか？,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5.0,-0.5999999999999996
1902F2001_032,60.0,4.4,0, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,7,スポーツ,19, 1964年以来56年ぶりの日本でのオリンピック開催で、たくさんの競技が行われるので行ってみたいものですね！,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4.4,-0.5999999999999996
1902F2001_033,23.0,5.4,0, オリンピックは今までに見たことはありますか？,2,スポーツ,15, オリンピックは今までに見たことはありますか？,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5.4,1.0
1902F2001_034,20.0,5.4,8, 具体的に教えてもらっていいですか？,6,default,20, 具体的に教えてもらっていいですか？,1,0,0,1,1.0,0.0,0.0,0.0,0.0,5.4,0.0
1902F2001_035,16.0,4.0,0, なるほど、よくご存じですね・・,1,default,7, なるほど、よくご存じですね。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,4.0,-1.4000000000000004
1902F2001_036,30.0,3.2,0, そうですか。そのスポーツはテレビで鑑賞はされますか・・,0,スポーツ,3, そのスポーツはテレビで鑑賞はされますか？,1,0,0,1,0.0,1.0,0.0,0.0,0.0,3.2,-0.7999999999999998
1902F2001_038,34.0,5.8,0, 日本で開催されるオリンピックを、見にいく予定はありますか？,2,スポーツ,16, 日本で開催されるオリンピックを、見にいく予定はありますか？,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5.8,2.5999999999999996
1902F2001_039,12.0,4.2,0, そうですね、わかります。,1,default,4, そうですね、わかります。,0,1,0,0,1.0,0.0,0.0,0.0,0.0,4.2,-1.5999999999999996
1902F2001_040,23.0,4.8,1, なにかおすすめのスポーツ観戦はありますか？,2,スポーツ,5, なにかおすすめのスポーツ観戦はありますか？,0,0,0,1,0.0,1.0,0.0,0.0,0.0,4.8,0.5999999999999996
1902F2001_042,33.0,2.8,0, そうなんですか．それでは一度独自で調べてみたいと思います．,3,default,3, そうなんですか。それでは一度独自で調べてみたいと思います。,1,0,0,0,1.0,0.0,0.0,0.0,0.0,2.8,-2.0
1902F2001_049,20.0,6.2,18, それのどういったところが好きなんですか？,6,default,5, それのどういったところが好きなんですか？,1,0,0,1,1.0,0.0,0.0,0.0,0.0,6.2,3.4000000000000004
1902F2001_052,24.0,5.2,11, もう少し詳しく教えていただいていいですか。,2,default,31, もう少し詳しく教えていただいていいですか？,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5.2,-1.0
1902F2001_053,7.0,3.8,0, すごいですね。,3,default,9, すごいですね。,0,0,0,0,1.0,0.0,0.0,0.0,0.0,3.8,-1.4000000000000004
1902F2001_053,7.0,3.8,0, すごいですね。,3,default,9, すごいですね。,0,0,0,0,1.0,0.0,0.0,0.0,0.0,3.8,0.0
1902F2001_097,7.0,4.4,0, すごいですね。,3,default,9, すごいですね。,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4.4,0.6000000000000005
1902F2001_097,7.0,4.4,0, すごいですね。,3,default,9, すごいですね。,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4.4,0.0
1902F2001_056,13.0,3.8,0, ありがとうございました・・,4,default,58, ありがとうございました。,0,0,1,0,1.0,0.0,0.0,0.0,0.0,3.8,-0.6000000000000005
1902F2001_070,13.0,3.8,0, ありがとうございました・・,4,default,58, ありがとうございました。,0,0,1,0,1.0,0.0,0.0,0.0,0.0,3.8,0.0
1902F2001_058,38.0,4.8,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,2,音楽,22, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,0,0,0,1,0.0,0.0,0.0,1.0,0.0,4.8,1.0
1902F2001_060,15.0,5.8,4, 具体的に教えてください？,6,default,3, 具体的に教えてください？,1,0,0,1,1.0,0.0,0.0,0.0,0.0,5.8,1.0
