speech,dialogue_act
 ,no
 *,no
 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,io
 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,qy
 「エスエヌエス」のともだちと実際に、会ったことはありますか・・,qy
 「エスエヌエス」を利用して、何か面白かったことはありますか・・,qy
 「エスエヌエス」を利用していてハプニングにあったことはありますか？,qy
 「映画館」か「テレビ」かどちらでよく映画をみますか？,qy
 「温泉」などリフレッシュするためにいきますか？,qy
 あとは帰ったらすぐに、手洗いうがいをするのが、やはり効果的だそうです。,io
 あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,qy
 あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,qy
 ありがとうございました・・,oa
 ありがとうございます。,oa
 ありがとうございます。参考にさせていただきます。,pa
 いいですね。テレビ観戦も楽しそうですね！,pa
 いいですね，とても興味深いです！,pa
 いいですね，私も使ってみたいです！,pa
 いいですね．使ってみると面白そうですね！,pa
 いい思い出だったようです。,oa
 いつもはどんなジャンルのゲームをするんですか？,qw
 いぬがたのロボットで、とてもかわいがる人もいるようです。,io
 おすすめのアニメってありますか？,qy
 おすすめの便利なきのうとかはありますか？,qy
 おすすめの映画ってありますか？,qy
 おすすめの曲はありますか？,qy
 おすすめの歌手やきょくってありますか？,qy
 おすすめの漫画ってありますか？,qy
 おばあちゃんがよく家で出してくれていたと言っていました。,oa
 お友達とランチに行ったりしますか？,qy
 お子さんとはよく公園で遊びますか？,qy
 お子さんと遊ぶのは体力が必要で、大変ですよね。,oa
 からい食べものとはどんな食べものが好きですか？,qw
 がっきは何を演奏するのですか。,qw
 がっきを演奏するのですか？,qy
 きょうはここまでなにで来られましたか？乗り物は乗りましたか？,qy
 きょうは来ていただいてありがとうございます！,oa
 ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？,qw
 ここに来るまで迷いませんでしたか・・,qy
 これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,oa
 これから本番の収録を開始します。,oa
 これで対話を終了します．ご協力ありがとうございました・・,oa
 これは「おすすめ」というものはありますか？,qy
 こんにちわ，私の声が聞こえますか？,qy
 さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,qy
 さいきんはマンガを脚本にして「ドラマ化」するものが増えていますね。２０１８年のドラマで「今日から俺は！」というドラマもそうでしたが、結構笑えて面白かったそうです。ご存知ですか？,qy
 さいきんドラマは見ましたか？,qy
 さいきん旅行には行きましたか？,qy
 すごいですね。,pa
 すごいですね。一度聞かせていただけるとうれしいです。,pa
 すごいですね！,pa
 すごい！,pa
 すごい！面白い体験をされましたね!,pa
 すみません。なにか言いかけましたか？,qy
 すみません，その質問にはお答えできかねます．,na
 するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,qy
 そういった番組も面白いですよね。,oa
 そうですか、とても美味しそうですね・・,pa
 そうですか、なかなかですね。,oa
 そうですか、残念です・・,na
 そうですか、貴重な体験談をありがとうございました。,oa
 そうですか、貴重な体験談をありがとうございました・・,oa
 そうですか。そのスポーツはテレビでの観戦はなされるんですか？,qy
 そうですか。そのスポーツはテレビで鑑賞はされますか・・,qy
 そうですか。テレビでの観戦はなされるんですか？,qy
 そうですか。最近はまっている食べ物はありますか・・,qy
 そうですか，いいものが見つかるといいですね．,oa
 そうですか，では一度独自で調べてみますね！,oa
 そうですね、わかります。,oa
 そうですね。,oa
 そうですね・・ぜひ参考にさせていただきます。,pa
 そうなんですか，その作品はおすすめですか？,qy
 そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,pa
 そうなんですか．,oa
 そうなんですか．それでは一度独自で調べてみたいと思います．,oa
 そうなんですか．私も独自に調べてみますね．,oa
 そうなんですね。,oa
